1747052389,73.44
1747052389,88.62
1747052390,83.62
1747052391,87.24
1747052392,95
1747052393,92.22
1747052394,90.56
1747052395,88.94
1747052396,89.26
1747052397,90.35
1747052398,90.66
1747052399,90.18
1747052399,93.96
1747052401,89.01
1747052402,83.97
1747052402,87.93
1747052403,83.09
1747052404,86.57
1747052405,86.56
1747052406,86.43
1747052407,87
1747052408,86.74
1747052408,93.59
1747052410,89.3
1747052410,87.15
1747052411,84.02
1747052412,83.45
1747052413,83.64
1747052414,84.94
1747052415,88.52
1747052416,88.61
1747052417,81.56
1747052417,91.16
