gen,tick,subject_health,opponent_health
1,32,100.0,100.0
1,33,100.0,100.0
1,34,100.0,100.0
1,35,100.0,100.0
1,36,100.0,100.0
1,37,100.0,100.0
1,38,100.0,100.0
1,39,100.0,100.0
1,40,100.0,100.0
1,41,100.0,100.0
1,42,100.0,100.0
1,43,100.0,100.0
1,44,100.0,100.0
1,45,100.0,100.0
1,46,100.0,100.0
1,47,100.0,100.0
1,48,100.0,100.0
1,49,100.0,100.0
1,50,100.0,100.0
1,51,99.0,99.0
1,52,98.0,98.0
1,53,97.0,97.0
1,54,96.0,96.0
1,55,95.0,95.0
1,56,94.0,94.0
1,57,93.0,93.0
1,58,92.0,92.0
1,59,91.0,91.0
1,60,90.0,90.0
1,61,89.0,89.0
1,62,88.0,88.0
1,63,87.0,87.0
1,64,86.0,86.0
1,65,85.0,85.0
1,66,84.0,84.0
1,67,83.0,83.0
1,68,82.0,82.0
1,69,81.0,81.0
1,70,80.0,80.0
1,71,79.0,79.0
1,72,78.0,78.0
1,73,77.0,77.0
1,74,76.0,76.0
1,75,75.0,75.0
1,76,74.0,74.0
1,77,73.0,73.0
1,78,72.0,72.0
1,79,71.0,71.0
1,80,70.0,70.0
1,81,69.0,69.0
1,82,68.0,68.0
1,83,67.0,67.0
1,84,66.0,66.0
1,85,65.0,65.0
1,86,64.0,64.0
1,87,63.0,63.0
1,88,62.0,62.0
1,89,61.0,61.0
1,90,60.0,60.0
1,91,59.0,59.0
1,92,58.0,58.0
1,93,57.0,57.0
1,94,56.0,56.0
1,95,55.0,55.0
1,96,54.0,54.0
1,97,53.0,53.0
1,98,52.0,52.0
1,99,51.0,51.0
1,100,50.0,50.0
1,101,49.0,49.0
1,102,48.0,48.0
1,103,47.0,47.0
1,104,46.0,46.0
1,105,45.0,46.0
1,106,44.0,46.0
1,107,43.0,46.0
1,108,42.0,46.0
1,109,41.0,46.0
1,110,40.0,46.0
1,111,39.0,46.0
1,112,38.0,46.0
1,113,37.0,46.0
1,114,36.0,46.0
1,115,35.0,46.0
1,116,34.0,46.0
1,117,33.0,46.0
1,118,32.0,46.0
1,119,31.0,46.0
1,120,30.0,46.0
1,121,29.0,46.0
1,122,28.0,46.0
1,123,27.0,46.0
1,124,26.0,46.0
1,125,25.0,46.0
1,126,24.0,46.0
1,127,23.0,46.0
1,128,22.0,46.0
1,129,21.0,46.0
1,130,20.0,46.0
1,131,20.0,46.0
1,132,20.0,46.0
1,133,20.0,46.0
1,134,20.0,46.0
1,135,20.0,46.0
1,136,20.0,46.0
1,137,20.0,46.0
1,138,20.0,46.0
1,139,20.0,46.0
1,140,20.0,46.0
1,141,20.0,46.0
1,142,20.0,46.0
1,143,20.0,46.0
1,144,20.0,46.0
1,145,20.0,46.0
1,146,20.0,46.0
1,147,20.0,46.0
1,148,20.0,46.0
1,149,20.0,46.0
1,150,20.0,46.0
1,151,20.0,46.0
1,152,20.0,46.0
1,153,20.0,46.0
1,154,20.0,46.0
1,155,20.0,46.0
1,156,20.0,46.0
1,157,20.0,46.0
1,158,20.0,46.0
1,159,20.0,46.0
1,160,20.0,46.0
1,161,20.0,46.0
1,162,20.0,46.0
1,163,20.0,46.0
1,164,20.0,46.0
1,165,20.0,46.0
1,166,20.0,46.0
1,167,20.0,46.0
1,168,20.0,46.0
1,169,20.0,46.0
1,170,20.0,46.0
1,171,20.0,46.0
1,172,20.0,46.0
1,173,20.0,46.0
1,174,20.0,46.0
1,175,20.0,46.0
1,176,20.0,46.0
1,177,20.0,46.0
1,178,20.0,46.0
1,179,20.0,46.0
1,180,20.0,46.0
1,181,20.0,46.0
1,182,20.0,46.0
1,183,20.0,46.0
1,184,20.0,46.0
1,185,20.0,46.0
1,186,20.0,46.0
1,187,20.0,46.0
1,188,20.0,46.0
1,189,20.0,46.0
1,190,20.0,46.0
1,191,20.0,46.0
1,192,20.0,46.0
1,193,20.0,46.0
1,194,20.0,46.0
1,195,20.0,46.0
1,196,20.0,46.0
1,197,20.0,46.0
1,198,20.0,46.0
1,199,20.0,46.0
1,200,20.0,46.0
2,1,100.0,100.0
2,2,100.0,100.0
2,3,100.0,100.0
2,4,100.0,100.0
2,5,100.0,100.0
2,6,100.0,100.0
2,7,100.0,100.0
2,8,100.0,100.0
2,9,100.0,100.0
2,10,100.0,100.0
2,11,100.0,100.0
2,12,100.0,100.0
2,13,100.0,100.0
2,14,100.0,100.0
2,15,100.0,100.0
2,16,100.0,100.0
2,17,100.0,100.0
2,18,100.0,100.0
2,19,100.0,100.0
2,20,100.0,100.0
2,21,100.0,100.0
2,22,100.0,100.0
2,23,100.0,100.0
2,24,100.0,100.0
2,25,100.0,100.0
2,26,100.0,100.0
2,27,100.0,100.0
2,28,100.0,100.0
2,29,100.0,100.0
2,30,100.0,100.0
2,31,100.0,100.0
2,32,100.0,100.0
2,33,100.0,100.0
2,34,100.0,100.0
2,35,100.0,100.0
2,36,100.0,100.0
2,37,100.0,100.0
2,38,100.0,100.0
2,39,100.0,100.0
2,40,100.0,100.0
2,41,100.0,100.0
2,42,100.0,100.0
2,43,100.0,100.0
2,44,100.0,100.0
2,45,100.0,100.0
2,46,100.0,100.0
2,47,100.0,100.0
2,48,100.0,100.0
2,49,100.0,100.0
2,50,100.0,100.0
2,51,99.0,99.0
2,52,98.0,98.0
2,53,97.0,97.0
2,54,96.0,96.0
2,55,95.0,95.0
2,56,94.0,94.0
2,57,93.0,93.0
2,58,92.0,92.0
2,59,91.0,91.0
2,60,90.0,90.0
2,61,89.0,89.0
2,62,88.0,88.0
2,63,87.0,87.0
2,64,86.0,86.0
2,65,85.0,85.0
2,66,84.0,84.0
2,67,83.0,83.0
2,68,82.0,82.0
2,69,81.0,81.0
2,70,80.0,80.0
2,71,79.0,79.0
2,72,78.0,78.0
2,73,77.0,77.0
2,74,76.0,76.0
2,75,75.0,75.0
2,76,74.0,74.0
2,77,73.0,73.0
2,78,72.0,72.0
2,79,71.0,72.0
2,80,70.0,72.0
2,81,69.0,72.0
2,82,68.0,72.0
2,83,67.0,72.0
2,84,66.0,72.0
2,85,65.0,72.0
2,86,64.0,72.0
2,87,63.0,72.0
2,88,62.0,72.0
2,89,61.0,72.0
2,90,60.0,72.0
2,91,59.0,72.0
2,92,58.0,72.0
2,93,57.0,72.0
2,94,56.0,72.0
2,95,55.0,72.0
2,96,54.0,72.0
2,97,53.0,72.0
2,98,52.0,72.0
2,99,51.0,72.0
2,100,50.0,72.0
2,101,49.0,72.0
2,102,48.0,72.0
2,103,47.0,72.0
2,104,46.0,72.0
2,105,45.0,72.0
2,106,44.0,72.0
2,107,43.0,72.0
2,108,42.0,72.0
2,109,41.0,72.0
2,110,40.0,72.0
2,111,39.0,72.0
2,112,38.0,72.0
2,113,37.0,72.0
2,114,36.0,72.0
2,115,35.0,72.0
2,116,34.0,72.0
2,117,33.0,72.0
2,118,32.0,72.0
2,119,31.0,72.0
2,120,30.0,72.0
2,121,29.0,72.0
2,122,28.0,72.0
2,123,27.0,72.0
2,124,26.0,72.0
2,125,25.0,72.0
2,126,24.0,72.0
2,127,23.0,72.0
2,128,22.0,72.0
2,129,21.0,72.0
2,130,20.0,72.0
2,131,19.0,72.0
2,132,18.0,72.0
2,133,17.0,72.0
2,134,16.0,72.0
2,135,15.0,72.0
2,136,14.0,72.0
2,137,13.0,72.0
2,138,12.0,72.0
2,139,11.0,72.0
2,140,10.0,72.0
2,141,9.0,72.0
2,142,8.0,72.0
2,143,7.0,72.0
2,144,6.0,72.0
2,145,5.0,72.0
2,146,4.0,72.0
2,147,3.0,72.0
2,148,2.0,72.0
2,149,1.0,72.0
2,150,0.0,72.0
3,1,100.0,100.0
3,2,100.0,100.0
3,3,100.0,100.0
3,4,100.0,100.0
3,5,100.0,100.0
3,6,100.0,100.0
3,7,100.0,100.0
3,8,100.0,100.0
3,9,100.0,100.0
3,10,100.0,100.0
3,11,100.0,100.0
3,12,100.0,100.0
3,13,100.0,100.0
3,14,100.0,100.0
3,15,100.0,100.0
3,16,100.0,100.0
3,17,100.0,100.0
3,18,100.0,100.0
3,19,100.0,100.0
3,20,100.0,100.0
3,21,100.0,100.0
3,22,100.0,100.0
3,23,100.0,100.0
3,24,100.0,100.0
3,25,100.0,100.0
3,26,100.0,100.0
3,27,100.0,100.0
3,28,100.0,100.0
3,29,100.0,100.0
3,30,100.0,100.0
3,31,100.0,100.0
3,32,100.0,100.0
3,33,100.0,100.0
3,34,100.0,100.0
3,35,100.0,100.0
3,36,100.0,100.0
3,37,100.0,100.0
3,38,100.0,100.0
3,39,100.0,100.0
3,40,100.0,100.0
3,41,100.0,100.0
3,42,100.0,100.0
3,43,100.0,100.0
3,44,100.0,100.0
3,45,100.0,100.0
3,46,100.0,100.0
3,47,100.0,100.0
3,48,100.0,100.0
3,49,100.0,100.0
3,50,100.0,100.0
3,51,99.0,99.0
3,52,98.0,98.0
3,53,97.0,97.0
3,54,96.0,96.0
3,55,95.0,95.0
3,56,94.0,94.0
3,57,93.0,93.0
3,58,92.0,92.0
3,59,91.0,91.0
3,60,90.0,90.0
3,61,89.0,89.0
3,62,88.0,88.0
3,63,87.0,87.0
3,64,86.0,86.0
3,65,85.0,85.0
3,66,84.0,84.0
3,67,83.0,83.0
3,68,82.0,82.0
3,69,81.0,81.0
3,70,80.0,80.0
3,71,79.0,79.0
3,72,78.0,78.0
3,73,77.0,77.0
3,74,76.0,76.0
3,75,75.0,75.0
3,76,74.0,74.0
3,77,73.0,73.0
3,78,72.0,72.0
3,79,71.0,71.0
